index	words	numbers
0th	eight	8
1th	eighteen	18
2th	eighty	80
3th	eighty-eight	88
4th	eighty-five	85
5th	eighty-four	84
6th	eighty-nine	89
7th	eighty-one	81
8th	eighty-seven	87
9th	eighty-six	86
10th	eighty-three	83
11th	eighty-two	82
12th	eleven	11
13th	fifteen	15
14th	fifty	50
15th	fifty-eight	58
16th	fifty-five	55
17th	fifty-four	54
18th	fifty-nine	59
19th	fifty-one	51
20th	fifty-seven	57
21th	fifty-six	56
22th	fifty-three	53
23th	fifty-two	52
24th	five	5
25th	forty	40
26th	forty-eight	48
27th	forty-five	45
28th	forty-four	44
29th	forty-nine	49
30th	forty-one	41
31th	forty-seven	47
32th	forty-six	46
33th	forty-three	43
34th	forty-two	42
35th	four	4
36th	fourteen	14
37th	nine	9
38th	nineteen	19
39th	ninety	90
40th	ninety-eight	98
41th	ninety-five	95
42th	ninety-four	94
43th	ninety-nine	99
44th	ninety-one	91
45th	ninety-seven	97
46th	ninety-six	96
47th	ninety-three	93
48th	ninety-two	92
49th	one	1
50th	one hundred	100
51th	seven	7
52th	seventeen	17
53th	seventy	70
54th	seventy-eight	78
55th	seventy-five	75
56th	seventy-four	74
57th	seventy-nine	79
58th	seventy-one	71
59th	seventy-seven	77
60th	seventy-six	76
61th	seventy-three	73
62th	seventy-two	72
63th	six	6
64th	sixteen	16
65th	sixty	60
66th	sixty-eight	68
67th	sixty-five	65
68th	sixty-four	64
69th	sixty-nine	69
70th	sixty-one	61
71th	sixty-seven	67
72th	sixty-six	66
73th	sixty-three	63
74th	sixty-two	62
75th	ten	10
76th	thirteen	13
77th	thirty	30
78th	thirty-eight	38
79th	thirty-five	35
80th	thirty-four	34
81th	thirty-nine	39
82th	thirty-one	31
83th	thirty-seven	37
84th	thirty-six	36
85th	thirty-three	33
86th	thirty-two	32
87th	three	3
88th	twelve	12
89th	twenty	20
90th	twenty-eight	28
91th	twenty-five	25
92th	twenty-four	24
93th	twenty-nine	29
94th	twenty-one	21
95th	twenty-seven	27
96th	twenty-six	26
97th	twenty-three	23
98th	twenty-two	22
99th	two	2
100th	zero	0
